mechanism,projection,mean_mechanism,mean_null,z_score,sign_consistency,verdict,effect_size,selected_submetric,num_submetrics,raw_z,bonferroni_z_threshold,passes_bonferroni,effect_size_d,material,verdict_material
null,LeadingDigit,0.05971144251732498,0.05979099807288053,-0.9137268058581796,0.55,0,-0.28894578656623315,leading_digit_mad,1,-0.9137268058581796,3.090232306167813,False,-0.28894578656623315,True,0
null,TerminalDigit,9.92888,8.738359999999997,0.9095776847461069,0.55,0,0.28763371926602915,terminal_digit_chisq,1,0.9095776847461069,3.090232306167813,False,0.28763371926602915,True,0
null,CentsEntropy,6.6431501898438485,6.643148182118215,0.08882237276607491,0.6,0,0.028088100512130693,cents_entropy,1,0.08882237276607491,3.090232306167813,False,0.028088100512130693,False,0
null,DecimalResidue,0.0026335000000000017,0.002155999999999998,1.5378245602403693,0.7,?,0.4863028252106382,mod5_tv,4,1.5378245602403693,3.4807564043462427,False,0.4863028252106382,True,?
null,VocabGini,0.04622683821402135,0.04598784931642772,1.1266023609763984,0.45,0,0.3562629478008617,vocab_gini,1,1.1266023609763984,3.090232306167813,False,0.3562629478008617,True,0
null,ThresholdDensity,nan,nan,nan,nan,?,nan,n/a,1,nan,3.090232306167813,False,nan,False,?
null,TemporalConcentration,nan,nan,nan,nan,?,nan,n/a,1,nan,3.090232306167813,False,nan,False,?
null,cp_spectrum,0.05440299453067632,0.05456671338851106,-1.9994893068835518,0.65,?,-0.6322940366903411,c2,6,-1.9994893068835518,3.5879146722879613,False,-0.6322940366903411,True,?
null,L_profile,0.6561827674431674,0.655979613134098,1.0534716859625095,0.55,0,0.3331369978139163,L1,4,1.0534716859625095,3.4807564043462427,False,0.3331369978139163,True,0
null,TailMass,0.11515436279002925,0.11527647897016025,-0.8881142371866452,0.5,0,-0.2808463811932809,tail_mass,1,-0.8881142371866452,3.090232306167813,False,-0.2808463811932809,True,0
null,CBAD_a,1.87177715591811e-08,2.849040313168642e-06,-0.9934890767329163,0.5,0,-0.314168831297381,cbad_a,1,-0.9934890767329163,3.090232306167813,False,-0.314168831297381,True,0
null,CBAD_c,0.012998300450593242,0.0130536016630138,-0.30063675326202477,0.4,0,-0.0950696888666054,cbad_c,1,-0.30063675326202477,3.090232306167813,False,-0.0950696888666054,False,0
null,CBAD_R2,0.8983299498056327,0.8995189417925715,-0.18769187176553054,0.55,0,-0.059353381307932544,cbad_r2,1,-0.18769187176553054,3.090232306167813,False,-0.059353381307932544,False,0
null,cp_spectrum_composite,0.05904384393985144,0.05919792323117505,-1.7959273678364707,0.65,?,-0.567922099459427,c2_composite,6,-1.7959273678364707,3.5879146722879613,False,-0.567922099459427,True,?
null,L_profile_composite,0.026216874192112494,0.02624745135753153,-0.5428344722016757,0.55,0,-0.17165933246126522,L4_composite,4,-0.5428344722016757,3.4807564043462427,False,-0.17165933246126522,False,0
null,TailMass_composite,0.12497758799482603,0.1250603317226581,-0.579787018385919,0.5,0,-0.18334475358974248,tail_mass_composite,1,-0.579787018385919,3.090232306167813,False,-0.18334475358974248,False,0
null,prime_fraction,0.0786005,0.078233,1.633366659022976,0.8,?,0.516515889669222,prime_fraction,1,1.633366659022976,3.090232306167813,False,0.516515889669222,True,?
repeated,LeadingDigit,0.07718453890533991,0.060437146323729485,4.448093300510097,0.9,+,1.4066106074547713,leading_digit_mad,1,4.448093300510097,3.090232306167813,True,1.4066106074547713,True,+
repeated,TerminalDigit,27824.88604,7.503436084955895,9.089269504736736,1.0,+,2.874279390207869,terminal_digit_chisq,1,9.089269504736736,3.090232306167813,True,2.874279390207869,True,+
repeated,CentsEntropy,4.902579578423808,6.643146948811443,-63.075515746538905,1.0,+,-19.94622943488788,cents_entropy,1,-63.075515746538905,3.090232306167813,True,-19.94622943488788,True,+
repeated,DecimalResidue,0.644563,0.012588534500773605,107.56930281398154,1.0,+,34.01640032085414,mod100_tv,4,107.56930281398154,3.4807564043462427,True,34.01640032085414,True,+
repeated,VocabGini,0.38043463999999994,0.051274383239818776,51.74441427007265,1.0,+,16.363020528474866,vocab_gini,1,51.74441427007265,3.090232306167813,True,16.363020528474866,True,+
repeated,ThresholdDensity,nan,nan,nan,nan,?,nan,n/a,1,nan,3.090232306167813,False,nan,False,?
repeated,TemporalConcentration,nan,nan,nan,nan,?,nan,n/a,1,nan,3.090232306167813,False,nan,False,?
repeated,cp_spectrum,0.08994230133547548,0.08618295498567967,1.083694162177454,0.55,0,0.3426941839508652,c10,6,1.083694162177454,3.5879146722879613,False,0.3426941839508652,True,0
repeated,L_profile,0.025907765366074226,0.024131907665277456,0.9693187393230536,0.6,0,0.3065254994943869,L4,4,0.9693187393230536,3.4807564043462427,False,0.3065254994943869,True,0
repeated,TailMass,0.11724107583274875,0.1151501772654026,0.46418742602543495,0.5,0,0.14678895274512951,tail_mass,1,0.46418742602543495,3.090232306167813,False,0.14678895274512951,False,0
repeated,CBAD_a,0.15459029965738091,2.2997577924104194e-06,223.35289259023978,1.0,+,70.63038625721029,cbad_a,1,223.35289259023978,3.090232306167813,True,70.63038625721029,True,+
repeated,CBAD_c,0.4089646620722557,0.013151695870911431,75.16265686664585,1.0,+,23.76851906882956,cbad_c,1,75.16265686664585,3.090232306167813,True,23.76851906882956,True,+
repeated,CBAD_R2,0.9984789796857563,0.8998984117483555,22.25919312154046,1.0,+,7.038974914162106,cbad_r2,1,22.25919312154046,3.090232306167813,True,7.038974914162106,True,+
repeated,cp_spectrum_composite,0.09764741958755119,0.09354275520149019,1.1006578499167983,0.55,0,0.3480585730280852,c10_composite,6,1.1006578499167983,3.5879146722879613,False,0.3480585730280852,True,0
repeated,L_profile_composite,0.028105492723386027,0.026191771215187065,0.982839378491271,0.6,0,0.31080110101367203,L4_composite,4,0.982839378491271,3.4807564043462427,False,0.31080110101367203,True,0
repeated,TailMass_composite,0.12724692825755263,0.12498041663737465,0.48057934075847836,0.55,0,0.1519725313218983,tail_mass_composite,1,0.48057934075847836,3.090232306167813,False,0.1519725313218983,False,0
repeated,prime_fraction,0.07830050000000001,0.0786605320192095,-0.04238356026726635,0.4,0,-0.013402858579157656,prime_fraction,1,-0.04238356026726635,3.090232306167813,False,-0.013402858579157656,False,0
round,LeadingDigit,0.059671886961769414,0.059791307669168084,-1.3732095552829613,0.65,0,-0.43424698994010635,leading_digit_mad,1,-1.3732095552829613,3.090232306167813,False,-0.43424698994010635,True,0
round,TerminalDigit,900000.0,8.70867231625145,1055061.8708069595,1.0,+,333639.85841483047,terminal_digit_chisq,1,1055061.8708069595,3.090232306167813,True,333639.85841483047,True,+
round,CentsEntropy,0.0,6.64314952819489,-368281.892642042,1.0,+,-116460.96017464588,cents_entropy,1,-368281.892642042,3.090232306167813,True,-116460.96017464588,True,+
round,DecimalResidue,0.9899999999999997,0.012502717166487773,5417.057582095967,1.0,+,1713.024017570781,mod100_tv,4,5417.057582095967,3.4807564043462427,True,1713.024017570781,True,+
round,VocabGini,0.5030721783251167,0.045874164020249575,1317.650139660142,1.0,+,416.6775600565012,vocab_gini,1,1317.650139660142,3.090232306167813,True,416.6775600565012,True,+
round,ThresholdDensity,nan,nan,nan,nan,?,nan,n/a,1,nan,3.090232306167813,False,nan,False,?
round,TemporalConcentration,nan,nan,nan,nan,?,nan,n/a,1,nan,3.090232306167813,False,nan,False,?
round,cp_spectrum,0.2844484983071422,0.010517289807665541,4081.342238585045,1.0,+,1290.6337384579092,c5sq,6,4081.342238585045,3.5879146722879613,True,1290.6337384579092,True,+
round,L_profile,0.44892352881241343,0.6559962527693303,-1195.7774077060965,1.0,+,-378.1380182923045,L1,4,-1195.7774077060965,3.4807564043462427,True,-378.1380182923045,True,+
round,TailMass,0.2525580109706465,0.1152505072058638,1148.6827543136149,1.0,+,363.24538125866275,tail_mass,1,1148.6827543136149,3.090232306167813,True,363.24538125866275,True,+
round,CBAD_a,0.30478535735219275,7.876201284497271e-07,334.9488731512484,1.0,+,105.9201338864765,cbad_a,1,334.9488731512484,3.090232306167813,True,105.9201338864765,True,+
round,CBAD_c,0.26937496851109166,0.013016883272952876,32.83962046966557,1.0,+,10.384799817963163,cbad_c,1,32.83962046966557,3.090232306167813,True,10.384799817963163,True,+
round,CBAD_R2,0.992607082886759,0.897705905621458,16.861771115934797,1.0,+,5.332160211079305,cbad_r2,1,16.861771115934797,3.090232306167813,True,5.332160211079305,True,+
round,cp_spectrum_composite,0.2844484983071422,0.011411628904494086,3966.9717020547064,1.0,+,1254.4665991927727,c5sq_composite,6,3966.9717020547064,3.5879146722879613,True,1254.4665991927727,True,+
round,L_profile_composite,0.44892352881241343,0.6267452434444117,-1287.3210635383198,1.0,+,-407.0866640691427,L1_composite,4,-1287.3210635383198,3.4807564043462427,True,-407.0866640691427,True,+
round,TailMass_composite,0.2525580109706465,0.1250503077153034,1119.7914038689505,1.0,+,354.10913405033693,tail_mass_composite,1,1119.7914038689505,3.090232306167813,True,354.10913405033693,True,+
round,prime_fraction,0.0,0.07836792747937989,-369.259562230115,1.0,+,-116.77012644438481,prime_fraction,1,-369.259562230115,3.090232306167813,True,-116.77012644438481,True,+
quarter,LeadingDigit,0.059705220295102744,0.059786886961769405,-0.9421509328550034,0.55,0,-0.29793428474741757,leading_digit_mad,1,-0.9421509328550034,3.090232306167813,False,-0.29793428474741757,True,0
quarter,TerminalDigit,399984.68209,8.746089999999999,88345.74195462486,1.0,+,27937.376615411045,terminal_digit_chisq,1,88345.74195462486,3.090232306167813,True,27937.376615411045,True,+
quarter,CentsEntropy,2.000275509887982,6.643192889757972,-77519.67710134161,1.0,+,-24513.874312103886,cents_entropy,1,-77519.67710134161,3.090232306167813,True,-24513.874312103886,True,+
quarter,DecimalResidue,0.9599795,0.012123499999999999,4763.480094334322,1.0,+,1506.3446686970187,mod100_tv,4,4763.480094334322,3.4807564043462427,True,1506.3446686970187,True,+
quarter,VocabGini,0.28898600984509715,0.0458176467919187,1011.6389581006669,1.0,+,319.9083277357754,vocab_gini,1,1011.6389581006669,3.090232306167813,True,319.9083277357754,True,+
quarter,ThresholdDensity,nan,nan,nan,nan,?,nan,n/a,1,nan,3.090232306167813,False,nan,False,?
quarter,TemporalConcentration,nan,nan,nan,nan,?,nan,n/a,1,nan,3.090232306167813,False,nan,False,?
quarter,cp_spectrum,0.26359509109918633,0.010532257930785043,5176.065347281725,1.0,+,1636.8155815280684,c5sq,6,5176.065347281725,3.5879146722879613,True,1636.8155815280684,True,+
quarter,L_profile,0.15373048226938651,0.08749689640866244,887.6072093839792,1.0,+,280.68604492393547,L3,4,887.6072093839792,3.4807564043462427,True,280.68604492393547,True,+
quarter,TailMass,0.20588777168403705,0.11519128229068547,667.8630742985862,1.0,+,211.19684799057936,tail_mass,1,667.8630742985862,3.090232306167813,True,211.19684799057936,True,+
quarter,CBAD_a,0.3135372883863861,3.538236527935233e-07,107.34947277578877,1.0,+,33.946883958973046,cbad_a,1,107.34947277578877,3.090232306167813,True,33.946883958973046,True,+
